,route,IATA_O,IATA_D,HH_ISO_D,region_D,HH_ISO_O,region_O,LegHH_ISO,LegRegion,Origin,Destination,fixRoute_1,Leg_fixRoute_1,fixRoute_2,Leg_fixRoute_2,fixRoute_3,Leg_fixRoute_3
6143,BHX-TNG,BHX,TNG,MAR,Africa,GBR,Europe,GBR-MAR,Europe-Africa,BHX,TNG,BHX->MAD->TNG,2,BHX->MAD->TNG,2,BHX->MAD->TNG,2
6144,BHX-CCF,BHX,CCF,FRA,Europe,GBR,Europe,GBR-FRA,Europe-Europe,BHX,CCF,BHX->CPH->STN->CCF,3,BHX->MAD->CRL->CCF,3,BHX->DUB->STN->CCF,3
6145,BHX-RDU,BHX,RDU,USA,Americas,GBR,Europe,GBR-USA,Europe-Americas,BHX,RDU,BHX->DUB->LHR->RDU,3,BHX->CDG->RDU,2,BHX->MUC->LHR->RDU,3
6146,BHX-ANR,BHX,ANR,BEL,Europe,GBR,Europe,GBR-BEL,Europe-Europe,BHX,ANR,BHX->DUS->AMS->SEN->ANR,4,BHX->DUB->SEN->ANR,3,BHX->AMS->SEN->ANR,3
6147,BHX-TRD,BHX,TRD,NOR,Europe,GBR,Europe,GBR-NOR,Europe-Europe,BHX,TRD,BHX->CPH->TRD,2,BHX->CPH->TRD,2,BHX->AMS->TRD,2
6148,BHX-FMM,BHX,FMM,DEU,Europe,GBR,Europe,GBR-DEU,Europe-Europe,BHX,FMM,BHX->BCN->STN->FMM,3,BHX->MUC->STN->FMM,3,BHX->DUB->STN->FMM,3
6149,BHX-TKU,BHX,TKU,FIN,Europe,GBR,Europe,GBR-FIN,Europe-Europe,BHX,TKU,BHX->CPH->ARN->TKU,3,BHX->FRA->ARN->TKU,3,BHX->MUC->ARN->TKU,3
6150,BHX-SHJ,BHX,SHJ,ARE,Asia,GBR,Europe,GBR-ARE,Europe-Asia,BHX,SHJ,BHX->ZRH->DME->SHJ,3,BHX->ZRH->DME->SHJ,3,BHX->MUC->DME->SHJ,3
6151,BHX-DTM,BHX,DTM,DEU,Europe,GBR,Europe,GBR-DEU,Europe-Europe,BHX,DTM,BHX->AMS->LTN->DTM,3,BHX->DUB->LTN->DTM,3,BHX->CPH->LTN->DTM,3
6152,BHX-BLR,BHX,BLR,IND,Asia,GBR,Europe,GBR-IND,Europe-Asia,BHX,BLR,BHX->CDG->BLR,2,BHX->DUB->LHR->BLR,3,BHX->FRA->BLR,2
6153,BHX-BLR,BHX,BLR,IND,Asia,GBR,Europe,GBR-IND,Europe-Asia,BHX,BLR,BHX->CDG->BLR,2,BHX->DUB->LHR->BLR,3,BHX->FRA->BLR,2
6154,BHX-YOW,BHX,YOW,CAN,Americas,GBR,Europe,GBR-CAN,Europe-Americas,BHX,YOW,BHX->DUB->LHR->YOW,3,BHX->ZRH->LHR->YOW,3,BHX->MAD->LHR->YOW,3
6155,BHX-ZAZ,BHX,ZAZ,ESP,Europe,GBR,Europe,GBR-ESP,Europe-Europe,BHX,ZAZ,BHX->ORK->STN->ZAZ,3,BHX->GVA->STN->ZAZ,3,BHX->AMS->STN->ZAZ,3
6156,BHX-SWF,BHX,SWF,USA,Americas,GBR,Europe,GBR-USA,Europe-Americas,BHX,SWF,BHX->DUB->SWF,2,BHX->DUB->SWF,2,BHX->DUB->SWF,2
6157,BHX-BDA,BHX,BDA,BMU,Americas,GBR,Europe,GBR-BMU,Europe-Americas,BHX,BDA,BHX->CDG->LGW->BDA,3,BHX->CDG->LGW->BDA,3,BHX->AMS->LGW->BDA,3
6158,BHX-KIR,BHX,KIR,IRL,Europe,GBR,Europe,GBR-IRL,Europe-Europe,BHX,KIR,BHX->MUC->LTN->KIR,3,BHX->CDG->LTN->KIR,3,BHX->CPH->LTN->KIR,3
6159,BHX-BWI,BHX,BWI,USA,Americas,GBR,Europe,GBR-USA,Europe-Americas,BHX,BWI,BHX->MUC->LHR->BWI,3,BHX->ZRH->LHR->BWI,3,BHX->CDG->LHR->BWI,3
6160,BHX-TMP,BHX,TMP,FIN,Europe,GBR,Europe,GBR-FIN,Europe-Europe,BHX,TMP,BHX->ZRH->ARN->TMP,3,BHX->GVA->ARN->TMP,3,BHX->DUS->ARN->TMP,3
6161,BHX-RNS,BHX,RNS,FRA,Europe,GBR,Europe,GBR-FRA,Europe-Europe,BHX,RNS,BHX->AMS->SEN->RNS,3,BHX->DUB->SEN->RNS,3,BHX->AMS->SEN->RNS,3
6162,BHX-LBG,BHX,LBG,FRA,Europe,GBR,Europe,GBR-FRA,Europe-Europe,BHX,LBG,BHX->GVA->LBG,2,BHX->GVA->LBG,2,BHX->GVA->LBG,2
6163,BHX-NRN,BHX,NRN,DEU,Europe,GBR,Europe,GBR-DEU,Europe-Europe,BHX,NRN,BHX->AGP->NRN,2,BHX->AGP->NRN,2,BHX->AGP->NRN,2
6164,BHX-GRQ,BHX,GRQ,NLD,Europe,GBR,Europe,GBR-NLD,Europe-Europe,BHX,GRQ,BHX->AMS->SEN->GRQ,3,BHX->AMS->SEN->GRQ,3,BHX->DUB->SEN->GRQ,3
6165,BHX-VVI,BHX,VVI,BOL,Americas,GBR,Europe,GBR-BOL,Europe-Americas,BHX,VVI,BHX->MAD->VVI,2,BHX->MAD->VVI,2,BHX->MAD->VVI,2
6166,BHX-CSF,BHX,CSF,FRA,Europe,GBR,Europe,GBR-FRA,Europe-Europe,BHX,CSF,BHX->CPH->CIA->CSF,3,BHX->CPH->CIA->CSF,3,BHX->MUC->MAD->CIA->CSF,4
6167,BHX-MPL,BHX,MPL,FRA,Europe,GBR,Europe,GBR-FRA,Europe-Europe,BHX,MPL,BHX->SNN->LGW->MPL,3,BHX->CPH->LGW->MPL,3,BHX->ORK->LGW->MPL,3
6168,BHX-XFW,BHX,XFW,DEU,Europe,GBR,Europe,GBR-DEU,Europe-Europe,BHX,XFW,BHX->MAD->TLS->XFW,3,BHX->FRA->TLS->XFW,3,BHX->AMS->TLS->XFW,3
6169,BHX-MHQ,BHX,MHQ,FIN,Europe,GBR,Europe,GBR-FIN,Europe-Europe,BHX,MHQ,BHX->GVA->ARN->MHQ,3,BHX->AMS->ARN->MHQ,3,BHX->ZRH->ARN->MHQ,3
6170,BHX-PDX,BHX,PDX,USA,Americas,GBR,Europe,GBR-USA,Europe-Americas,BHX,PDX,BHX->AMS->PDX,2,BHX->AMS->PDX,2,BHX->DUS->AMS->PDX,3
6171,BHX-BDS,BHX,BDS,ITA,Europe,GBR,Europe,GBR-ITA,Europe-Europe,BHX,BDS,BHX->GVA->BDS,2,BHX->GVA->BDS,2,BHX->MUC->GVA->BDS,3
6172,BHX-TPE,BHX,TPE,TWN,Asia,GBR,Europe,GBR-TWN,Europe-Asia,BHX,TPE,BHX->AMS->TPE,2,BHX->FRA->TPE,2,BHX->AMS->TPE,2
6173,BHX-IND,BHX,IND,USA,Americas,GBR,Europe,GBR-USA,Europe-Americas,BHX,IND,BHX->CDG->IND,2,BHX->CDG->IND,2,BHX->CDG->IND,2
6174,BHX-VBS,BHX,VBS,ITA,Europe,GBR,Europe,GBR-ITA,Europe-Europe,BHX,VBS,BHX->DUB->LGW->VBS,3,BHX->DUS->LGW->VBS,3,BHX->SNN->LGW->VBS,3
6175,BHX-SNN,BHX,SNN,IRL,Europe,GBR,Europe,GBR-IRL,Europe-Europe,BHX,SNN,BHX->SNN,1,BHX->SNN,1,BHX->SNN,1
6176,BHX-YHU,BHX,YHU,CAN,Americas,GBR,Europe,GBR-CAN,Europe-Americas,BHX,YHU,BHX->CDG->YHU,2,BHX->CDG->YHU,2,BHX->CDG->YHU,2
6177,DME-ZRH,DME,ZRH,CHE,Europe,RUS,Europe,RUS-CHE,Europe-Europe,DME,ZRH,DME->ZRH,1,DME->ZRH,1,DME->ZRH,1
6178,DME-FRA,DME,FRA,DEU,Europe,RUS,Europe,RUS-DEU,Europe-Europe,DME,FRA,DME->FRA,1,DME->FRA,1,DME->FRA,1
6179,DME-CDG,DME,CDG,FRA,Europe,RUS,Europe,RUS-FRA,Europe-Europe,DME,CDG,DME->FRA->CDG,2,DME->TXL->CDG,2,DME->DUS->CDG,2
6180,DME-GRU,DME,GRU,BRA,Americas,RUS,Europe,RUS-BRA,Europe-Americas,DME,GRU,DME->FRA->GRU,2,DME->LIS->GRU,2,DME->ZRH->GRU,2
6181,DME-LAX,DME,LAX,USA,Americas,RUS,Europe,RUS-USA,Europe-Americas,DME,LAX,DME->LHR->LAX,2,DME->ARN->LAX,2,DME->LHR->LAX,2
6182,DME-EZE,DME,EZE,ARG,Americas,RUS,Europe,RUS-ARG,Europe-Americas,DME,EZE,DME->FCO->EZE,2,DME->FCO->EZE,2,DME->FRA->EZE,2
6183,DME-SJC,DME,SJC,USA,Americas,RUS,Europe,RUS-USA,Europe-Americas,DME,SJC,DME->LHR->SJC,2,DME->LHR->SJC,2,DME->LHR->SJC,2
6184,DME-SFO,DME,SFO,USA,Americas,RUS,Europe,RUS-USA,Europe-Americas,DME,SFO,DME->LHR->SFO,2,DME->MUC->SFO,2,DME->LHR->SFO,2
6185,DME-PHX,DME,PHX,USA,Americas,RUS,Europe,RUS-USA,Europe-Americas,DME,PHX,DME->DUS->LHR->PHX,3,DME->LHR->PHX,2,DME->LHR->PHX,2
6186,DME-SAN,DME,SAN,USA,Americas,RUS,Europe,RUS-USA,Europe-Americas,DME,SAN,DME->LHR->SAN,2,DME->FRA->SAN,2,DME->LHR->SAN,2
6187,DME-VIE,DME,VIE,AUT,Europe,RUS,Europe,RUS-AUT,Europe-Europe,DME,VIE,DME->VIE,1,DME->VIE,1,DME->VIE,1
6188,DME-LHR,DME,LHR,GBR,Europe,RUS,Europe,RUS-GBR,Europe-Europe,DME,LHR,DME->LHR,1,DME->LHR,1,DME->LHR,1
6189,DME-ORD,DME,ORD,USA,Americas,RUS,Europe,RUS-USA,Europe-Americas,DME,ORD,DME->FRA->ORD,2,DME->ARN->ORD,2,DME->ARN->ORD,2
6190,DME-HHR,DME,HHR,USA,Americas,RUS,Europe,RUS-USA,Europe-Americas,DME,HHR,DME->FRA->HHR,2,DME->FRA->HHR,2,DME->ZRH->HHR,2
6191,DME-MSP,DME,MSP,USA,Americas,RUS,Europe,RUS-USA,Europe-Americas,DME,MSP,DME->TXL->KEF->MSP,3,DME->LHR->MSP,2,DME->LHR->MSP,2
6192,DME-JFK,DME,JFK,USA,Americas,RUS,Europe,RUS-USA,Europe-Americas,DME,JFK,DME->LHR->JFK,2,DME->ARN->KEF->JFK,3,DME->ZRH->JFK,2
6193,DME-AMS,DME,AMS,NLD,Europe,RUS,Europe,RUS-NLD,Europe-Europe,DME,AMS,DME->TXL->AMS,2,DME->DUS->AMS,2,DME->MUC->AMS,2
6194,DME-YYZ,DME,YYZ,CAN,Americas,RUS,Europe,RUS-CAN,Europe-Americas,DME,YYZ,DME->LHR->YYZ,2,DME->MUC->YYZ,2,DME->VIE->YYZ,2
6195,DME-LAS,DME,LAS,USA,Americas,RUS,Europe,RUS-USA,Europe-Americas,DME,LAS,DME->LHR->LAS,2,DME->LHR->LAS,2,DME->LHR->LAS,2
6196,DME-BOM,DME,BOM,IND,Asia,RUS,Europe,RUS-IND,Europe-Asia,DME,BOM,DME->ZRH->BOM,2,DME->MUC->BOM,2,DME->ZRH->BOM,2
6197,DME-YVR,DME,YVR,CAN,Americas,RUS,Europe,RUS-CAN,Europe-Americas,DME,YVR,DME->FRA->YVR,2,DME->LHR->YVR,2,DME->LHR->YVR,2
6198,DME-BWN,DME,BWN,BRN,Asia,RUS,Europe,RUS-BRN,Europe-Asia,DME,BWN,DME->LHR->BWN,2,DME->LHR->BWN,2,DME->LHR->BWN,2
6199,DME-MAD,DME,MAD,ESP,Europe,RUS,Europe,RUS-ESP,Europe-Europe,DME,MAD,DME->ARN->MAD,2,DME->FCO->MAD,2,DME->FCO->MAD,2
6200,DME-SEA,DME,SEA,USA,Americas,RUS,Europe,RUS-USA,Europe-Americas,DME,SEA,DME->LHR->SEA,2,DME->ARN->BRU->CDG->SEA,4,DME->FRA->SEA,2
6201,DME-FCO,DME,FCO,ITA,Europe,RUS,Europe,RUS-ITA,Europe-Europe,DME,FCO,DME->FCO,1,DME->FCO,1,DME->FCO,1
6202,DME-YYC,DME,YYC,CAN,Americas,RUS,Europe,RUS-CAN,Europe-Americas,DME,YYC,DME->MUC->AMS->YYC,3,DME->FRA->YYC,2,DME->LHR->YYC,2
6203,DME-YUL,DME,YUL,CAN,Americas,RUS,Europe,RUS-CAN,Europe-Americas,DME,YUL,DME->LHR->YUL,2,DME->MUC->YUL,2,DME->ZRH->YUL,2
6204,DME-LIS,DME,LIS,PRT,Europe,RUS,Europe,RUS-PRT,Europe-Europe,DME,LIS,DME->LIS,1,DME->LIS,1,DME->LIS,1
6205,DME-KUL,DME,KUL,MYS,Asia,RUS,Europe,RUS-MYS,Europe-Asia,DME,KUL,DME->DUS->AMS->KUL,3,DME->FRA->KUL,2,DME->LHR->KUL,2
6206,DME-DOH,DME,DOH,QAT,Asia,RUS,Europe,RUS-QAT,Europe-Asia,DME,DOH,DME->DOH,1,DME->DOH,1,DME->DOH,1
6207,DME-DEL,DME,DEL,IND,Asia,RUS,Europe,RUS-IND,Europe-Asia,DME,DEL,DME->MUC->DEL,2,DME->MUC->DEL,2,DME->FCO->DEL,2
6208,DME-DEL,DME,DEL,IND,Asia,RUS,Europe,RUS-IND,Europe-Asia,DME,DEL,DME->MUC->DEL,2,DME->MUC->DEL,2,DME->FCO->DEL,2
6209,DME-HKG,DME,HKG,HKG,Asia,RUS,Europe,RUS-HKG,Europe-Asia,DME,HKG,DME->ZRH->HKG,2,DME->LHR->HKG,2,DME->FRA->HKG,2
6210,DME-DXB,DME,DXB,ARE,Asia,RUS,Europe,RUS-ARE,Europe-Asia,DME,DXB,DME->DXB,1,DME->DXB,1,DME->DXB,1
6211,DME-MUC,DME,MUC,DEU,Europe,RUS,Europe,RUS-DEU,Europe-Europe,DME,MUC,DME->MUC,1,DME->MUC,1,DME->MUC,1
6212,DME-ALA,DME,ALA,KAZ,Asia,RUS,Europe,RUS-KAZ,Europe-Asia,DME,ALA,DME->FRA->ALA,2,DME->ARN->HEL->LED->ALA,4,DME->VIE->KBP->ALA,3
6213,DME-BCN,DME,BCN,ESP,Europe,RUS,Europe,RUS-ESP,Europe-Europe,DME,BCN,DME->BCN,1,DME->BCN,1,DME->BCN,1
6214,DME-DSS,DME,DSS,SEN,Africa,RUS,Europe,RUS-SEN,Europe-Africa,DME,DSS,DME->FRA->CDG->DSS,3,DME->FRA->CDG->DSS,3,DME->LIS->DSS,2
6215,DME-DUB,DME,DUB,IRL,Europe,RUS,Europe,RUS-IRL,Europe-Europe,DME,DUB,DME->TXL->DUB,2,DME->MUC->DUB,2,DME->ARN->DUB,2
6216,DME-OTP,DME,OTP,ROU,Europe,RUS,Europe,RUS-ROU,Europe-Europe,DME,OTP,DME->VIE->OTP,2,DME->FRA->OTP,2,DME->ARN->SXF->OTP,3
6217,DME-BAH,DME,BAH,BHR,Asia,RUS,Europe,RUS-BHR,Europe-Asia,DME,BAH,DME->BAH,1,DME->BAH,1,DME->BAH,1
6218,DME-LPL,DME,LPL,GBR,Europe,RUS,Europe,RUS-GBR,Europe-Europe,DME,LPL,DME->ZRH->AMS->LPL,3,DME->FCO->DUB->LPL,3,DME->BCN->LPL,2
6219,DME-KIX,DME,KIX,JPN,Asia,RUS,Europe,RUS-JPN,Europe-Asia,DME,KIX,DME->MUC->HEL->KIX,3,DME->TXL->CDG->KIX,3,DME->MUC->KIX,2
6220,DME-ARN,DME,ARN,SWE,Europe,RUS,Europe,RUS-SWE,Europe-Europe,DME,ARN,DME->ARN,1,DME->ARN,1,DME->ARN,1
6221,DME-BRS,DME,BRS,GBR,Europe,RUS,Europe,RUS-GBR,Europe-Europe,DME,BRS,DME->BCN->BRS,2,DME->ARN->SXF->BRS,3,DME->FCO->BRS,2
6222,DME-LGW,DME,LGW,GBR,Europe,RUS,Europe,RUS-GBR,Europe-Europe,DME,LGW,DME->ARN->LGW,2,DME->VIE->LGW,2,DME->BCN->LGW,2
6223,DME-KBP,DME,KBP,UKR,Europe,RUS,Europe,RUS-UKR,Europe-Europe,DME,KBP,DME->DUS->KBP,2,DME->VIE->KBP,2,DME->FRA->KBP,2
6224,DME-LTN,DME,LTN,GBR,Europe,RUS,Europe,RUS-GBR,Europe-Europe,DME,LTN,DME->MUC->LTN,2,DME->MUC->LTN,2,DME->BCN->LTN,2
6225,DME-HEL,DME,HEL,FIN,Europe,RUS,Europe,RUS-FIN,Europe-Europe,DME,HEL,DME->TXL->HEL,2,DME->ARN->HEL,2,DME->ARN->HEL,2
6226,DME-LCY,DME,LCY,GBR,Europe,RUS,Europe,RUS-GBR,Europe-Europe,DME,LCY,DME->MUC->LCY,2,DME->DUS->LCY,2,DME->MUC->LCY,2
6227,DME-MAN,DME,MAN,GBR,Europe,RUS,Europe,RUS-GBR,Europe-Europe,DME,MAN,DME->VIE->MAN,2,DME->VIE->MAN,2,DME->ARN->MAN,2
6228,DME-KEF,DME,KEF,ISL,Europe,RUS,Europe,RUS-ISL,Europe-Europe,DME,KEF,DME->ARN->KEF,2,DME->FRA->KEF,2,DME->TXL->KEF,2
6229,DME-ATH,DME,ATH,GRC,Europe,RUS,Europe,RUS-GRC,Europe-Europe,DME,ATH,DME->ZRH->ATH,2,DME->SAW->ATH,2,DME->ZRH->ATH,2
6230,DME-GVA,DME,GVA,CHE,Europe,RUS,Europe,RUS-CHE,Europe-Europe,DME,GVA,DME->LHR->GVA,2,DME->FRA->LIN->GVA,3,DME->MUC->GVA,2
6231,DME-SAW,DME,SAW,TUR,Asia,RUS,Europe,RUS-TUR,Europe-Asia,DME,SAW,DME->SAW,1,DME->SAW,1,DME->SAW,1
6232,DME-ZAG,DME,ZAG,HRV,Europe,RUS,Europe,RUS-HRV,Europe-Europe,DME,ZAG,DME->MUC->ZAG,2,DME->ZRH->ZAG,2,DME->MUC->ZAG,2
6233,DME-BUD,DME,BUD,HUN,Europe,RUS,Europe,RUS-HUN,Europe-Europe,DME,BUD,DME->DUS->BUD,2,DME->VIE->BUD,2,DME->VIE->BUD,2
6234,DME-EDI,DME,EDI,GBR,Europe,RUS,Europe,RUS-GBR,Europe-Europe,DME,EDI,DME->BCN->EDI,2,DME->TXL->EDI,2,DME->FRA->EDI,2
6235,DME-EMA,DME,EMA,GBR,Europe,RUS,Europe,RUS-GBR,Europe-Europe,DME,EMA,DME->DUS->MXP->EMA,3,DME->VIE->CGN->EMA,3,DME->ALC->EMA,2
6236,DME-WAW,DME,WAW,POL,Europe,RUS,Europe,RUS-POL,Europe-Europe,DME,WAW,DME->FRA->WAW,2,DME->FRA->WAW,2,DME->VIE->WAW,2
6237,DME-CPH,DME,CPH,DNK,Europe,RUS,Europe,RUS-DNK,Europe-Europe,DME,CPH,DME->TXL->CPH,2,DME->MUC->CPH,2,DME->FRA->CPH,2
6238,DME-ORY,DME,ORY,FRA,Europe,RUS,Europe,RUS-FRA,Europe-Europe,DME,ORY,DME->BCN->ORY,2,DME->DUS->MXP->ORY,3,DME->SAW->ORY,2
6239,DME-STN,DME,STN,GBR,Europe,RUS,Europe,RUS-GBR,Europe-Europe,DME,STN,DME->VIE->STN,2,DME->FRA->STN,2,DME->VIE->STN,2
6240,DME-BHX,DME,BHX,GBR,Europe,RUS,Europe,RUS-GBR,Europe-Europe,DME,BHX,DME->DUS->BHX,2,DME->ZRH->BHX,2,DME->FRA->BHX,2
6241,DME-LGG,DME,LGG,BEL,Europe,RUS,Europe,RUS-BEL,Europe-Europe,DME,LGG,DME->FCO->CDG->LGG,3,DME->VIE->LGG,2,DME->ZRH->DUB->LGG,3
6242,DME-MMX,DME,MMX,SWE,Europe,RUS,Europe,RUS-SWE,Europe-Europe,DME,MMX,DME->VIE->LGG->MMX,3,DME->VIE->CGN->MMX,3,DME->ARN->CDG->LGG->MMX,4
6243,DME-CGN,DME,CGN,DEU,Europe,RUS,Europe,RUS-DEU,Europe-Europe,DME,CGN,DME->ARN->CGN,2,DME->ZRH->CGN,2,DME->VIE->CDG->CGN,3
6244,DME-RIX,DME,RIX,LVA,Europe,RUS,Europe,RUS-LVA,Europe-Europe,DME,RIX,DME->VIE->RIX,2,DME->ARN->RIX,2,DME->DUS->RIX,2
6245,DME-DUS,DME,DUS,DEU,Europe,RUS,Europe,RUS-DEU,Europe-Europe,DME,DUS,DME->DUS,1,DME->DUS,1,DME->DUS,1
6246,DME-PHL,DME,PHL,USA,Americas,RUS,Europe,RUS-USA,Europe-Americas,DME,PHL,DME->FRA->PHL,2,DME->LHR->PHL,2,DME->LHR->PHL,2
6247,DME-TXL,DME,TXL,DEU,Europe,RUS,Europe,RUS-DEU,Europe-Europe,DME,TXL,DME->TXL,1,DME->TXL,1,DME->TXL,1
6248,DME-FAO,DME,FAO,PRT,Europe,RUS,Europe,RUS-PRT,Europe-Europe,DME,FAO,DME->MUC->FAO,2,DME->DUS->FAO,2,DME->TXL->FAO,2
6249,DME-GOT,DME,GOT,SWE,Europe,RUS,Europe,RUS-SWE,Europe-Europe,DME,GOT,DME->LHR->TXL->GOT,3,DME->FRA->GOT,2,DME->ALC->GOT,2
6250,DME-ALC,DME,ALC,ESP,Europe,RUS,Europe,RUS-ESP,Europe-Europe,DME,ALC,DME->ALC,1,DME->ALC,1,DME->ALC,1
6251,DME-SVQ,DME,SVQ,ESP,Europe,RUS,Europe,RUS-ESP,Europe-Europe,DME,SVQ,DME->LIS->SVQ,2,DME->FCO->SVQ,2,DME->FCO->SVQ,2
6252,DME-ALG,DME,ALG,DZA,Africa,RUS,Europe,RUS-DZA,Europe-Africa,DME,ALG,DME->ALC->ALG,2,DME->ALC->ALG,2,DME->BCN->ALG,2
6253,DME-AGP,DME,AGP,ESP,Europe,RUS,Europe,RUS-ESP,Europe-Europe,DME,AGP,DME->VIE->AGP,2,DME->DUS->AGP,2,DME->TXL->AGP,2
6254,DME-CRL,DME,CRL,BEL,Europe,RUS,Europe,RUS-BEL,Europe-Europe,DME,CRL,DME->MUC->TLS->CRL,3,DME->MUC->MRS->CRL,3,DME->BCN->CRL,2
6255,DME-BGY,DME,BGY,ITA,Europe,RUS,Europe,RUS-ITA,Europe-Europe,DME,BGY,DME->FRA->BGY,2,DME->VIE->BGY,2,DME->SAW->BGY,2
6256,DME-SXF,DME,SXF,DEU,Europe,RUS,Europe,RUS-DEU,Europe-Europe,DME,SXF,DME->ARN->SXF,2,DME->SAW->SXF,2,DME->VIE->SXF,2
6257,DME-HAM,DME,HAM,DEU,Europe,RUS,Europe,RUS-DEU,Europe-Europe,DME,HAM,DME->ZRH->HAM,2,DME->SAW->HAM,2,DME->ARN->HAM,2
6258,DME-CIA,DME,CIA,ITA,Europe,RUS,Europe,RUS-ITA,Europe-Europe,DME,CIA,DME->VIE->ATH->CIA,3,DME->DUS->BUD->CIA,3,DME->ZRH->CPH->CIA,3
6259,DME-HER,DME,HER,GRC,Europe,RUS,Europe,RUS-GRC,Europe-Europe,DME,HER,DME->DUS->HER,2,DME->DUS->HER,2,DME->DUS->HER,2
6260,DME-MRS,DME,MRS,FRA,Europe,RUS,Europe,RUS-FRA,Europe-Europe,DME,MRS,DME->MUC->MRS,2,DME->FCO->MRS,2,DME->SAW->MRS,2
6261,DME-LIN,DME,LIN,ITA,Europe,RUS,Europe,RUS-ITA,Europe-Europe,DME,LIN,DME->DUS->LIN,2,DME->ARN->LIN,2,DME->DUS->LIN,2
6262,DME-XRY,DME,XRY,ESP,Europe,RUS,Europe,RUS-ESP,Europe-Europe,DME,XRY,DME->DUS->XRY,2,DME->DUS->XRY,2,DME->DUS->XRY,2
6263,DME-EIN,DME,EIN,NLD,Europe,RUS,Europe,RUS-NLD,Europe-Europe,DME,EIN,DME->MUC->BUD->EIN,3,DME->BCN->EIN,2,DME->LIS->EIN,2
6264,DME-HAJ,DME,HAJ,DEU,Europe,RUS,Europe,RUS-DEU,Europe-Europe,DME,HAJ,DME->ARN->CPH->HAJ,3,DME->VIE->HAJ,2,DME->ZRH->HAJ,2
6265,DME-STR,DME,STR,DEU,Europe,RUS,Europe,RUS-DEU,Europe-Europe,DME,STR,DME->VIE->STR,2,DME->ZRH->STR,2,DME->SAW->STR,2
6266,DME-LUX,DME,LUX,LUX,Europe,RUS,Europe,RUS-LUX,Europe-Europe,DME,LUX,DME->FRA->LUX,2,DME->VIE->LUX,2,DME->VIE->LUX,2
6267,DME-WMI,DME,WMI,POL,Europe,RUS,Europe,RUS-POL,Europe-Europe,DME,WMI,DME->SAW->ATH->WMI,3,DME->BCN->BGY->WMI,3,DME->FRA->DUB->WMI,3
6268,DME-POZ,DME,POZ,POL,Europe,RUS,Europe,RUS-POL,Europe-Europe,DME,POZ,DME->FRA->STN->POZ,3,DME->VIE->CPH->POZ,3,DME->ZRH->LTN->POZ,3
6269,DME-NUE,DME,NUE,DEU,Europe,RUS,Europe,RUS-DEU,Europe-Europe,DME,NUE,DME->VIE->NUE,2,DME->VIE->NUE,2,DME->VIE->NUE,2
6270,DME-DRS,DME,DRS,DEU,Europe,RUS,Europe,RUS-DEU,Europe-Europe,DME,DRS,DME->ZRH->DRS,2,DME->ZRH->DRS,2,DME->ZRH->DRS,2
6271,DME-GDN,DME,GDN,POL,Europe,RUS,Europe,RUS-POL,Europe-Europe,DME,GDN,DME->TXL->AMS->LTN->GDN,4,DME->MUC->BUD->NYO->GDN,4,DME->MUC->LTN->GDN,3
6272,DME-BOH,DME,BOH,GBR,Europe,RUS,Europe,RUS-GBR,Europe-Europe,DME,BOH,DME->LHR->AGP->BOH,3,DME->VIE->AGP->BOH,3,DME->TXL->AGP->BOH,3
6273,DME-IAD,DME,IAD,USA,Americas,RUS,Europe,RUS-USA,Europe-Americas,DME,IAD,DME->VIE->IAD,2,DME->MUC->IAD,2,DME->MUC->IAD,2
6274,DME-BOD,DME,BOD,FRA,Europe,RUS,Europe,RUS-FRA,Europe-Europe,DME,BOD,DME->BCN->BOD,2,DME->ZRH->BOD,2,DME->BCN->BOD,2
6275,DME-IEV,DME,IEV,UKR,Europe,RUS,Europe,RUS-UKR,Europe-Europe,DME,IEV,DME->FCO->IEV,2,DME->FCO->IEV,2,DME->VIE->IEV,2
6276,DME-PIK,DME,PIK,GBR,Europe,RUS,Europe,RUS-GBR,Europe-Europe,DME,PIK,DME->FRA->AGP->PIK,3,DME->TXL->AGP->PIK,3,DME->ZRH->AGP->PIK,3
6277,DME-AOI,DME,AOI,ITA,Europe,RUS,Europe,RUS-ITA,Europe-Europe,DME,AOI,DME->VIE->CDG->STN->AOI,4,DME->FRA->STN->AOI,3,DME->MUC->STN->AOI,3
6278,DME-BRE,DME,BRE,DEU,Europe,RUS,Europe,RUS-DEU,Europe-Europe,DME,BRE,DME->ZRH->BRE,2,DME->ZRH->BRE,2,DME->ZRH->BRE,2
6279,DME-TLL,DME,TLL,EST,Europe,RUS,Europe,RUS-EST,Europe-Europe,DME,TLL,DME->LHR->CPH->TLL,3,DME->ARN->TLL,2,DME->ARN->TLL,2
6280,DME-LYS,DME,LYS,FRA,Europe,RUS,Europe,RUS-FRA,Europe-Europe,DME,LYS,DME->BCN->LYS,2,DME->VIE->LYS,2,DME->LHR->LYS,2
6281,DME-TLS,DME,TLS,FRA,Europe,RUS,Europe,RUS-FRA,Europe-Europe,DME,TLS,DME->BCN->GVA->TLS,3,DME->LIS->TLS,2,DME->LHR->TLS,2
6282,DME-QPA,DME,QPA,ITA,Europe,RUS,Europe,RUS-ITA,Europe-Europe,DME,QPA,DME->FRA->QPA,2,DME->MUC->QPA,2,DME->FRA->QPA,2
